epoch,train_loss,val_loss
1,0.6367700629764133,0.9433911815285683
2,0.6086191402541267,0.6875398755073547
3,0.572497546672821,0.7823742926120758
4,0.5583649294243919,0.7666962146759033
5,0.5505059229003059,0.8205665871500969
6,0.5554425170024236,0.8479515686631203
7,0.5470971796247694,0.7270029857754707
8,0.5252040723959605,0.7675092443823814
9,0.5271601031223933,0.7557200416922569
10,0.5130687836143706,0.7674412280321121
11,0.5195725129710304,0.8099315389990807
12,0.49592429730627274,0.8297683224081993
13,0.484126028087404,0.8367521837353706
14,0.47915101051330566,0.7622563987970352
